#[TEXTURE]
#id	file_path	transparent_color_R	G	B
0	textures\UI.png	255	127	39

#[FONT]
#id	left	top	width	height	tex_ID
0	77	31	8	7	0
1	87	31	8	7	0
2	97	31	8	7	0
3	107	31	8	7	0
4	117	31	8	7	0
5	127	31	8	7	0
6	137	31	8	7	0
7	147	31	8	7	0
8	157	31	8	7	0
9	167	31	8	7	0
A	177	31	8	7	0
B	187	31	8	7	0
C	77	41	8	7	0
D	87	41	8	7	0
E	97	41	8	7	0
F	107	41	8	7	0
G	117	41	8	7	0
H	127	41	8	7	0
I	137	41	8	7	0
J	147	41	8	7	0
K	157	41	8	7	0
L	167	41	8	7	0
M	177	41	8	7	0
N	187	41	8	7	0
O	77	51	8	7	0
P	87	51	8	7	0
Q	97	51	8	7	0
R	107	51	8	7	0
S	117	51	8	7	0
T	127	51	8	7	0
U	137	51	8	7	0
V	147	51	8	7	0
W	157	51	8	7	0
X	167	51	8	7	0
Y	177	51	8	7	0
Z	187	51	8	7	0

#[POINTS IN LEVELS]
#id	left	top	width	height	tex_ID
100	61	89	11	8	0
200	75	89	12	8	0
400	90	89	12	8	0
800	105	89	12	8	0
1000	120	89	15	8	0
2000	138	89	16	8	0
4000	157	89	16	8	0
8000	176	89	16	8	0
1-up	195	89	16	8	0

#[HUD]
#id		left	top	width	height	tex_ID
MAIN_HUD	12	128	264	197	0
EMPTY_CARD	160	159	24	28	0
MUSHROOM_CARD	184	159	24	28	0
FLOWER_CARD	208	159	24	28	0
STAR_CARD	232	159	24	28	0
MARIO_SYMBOL	16	161	16	7	0
LUIGI_SYMBOL	16	171	16	7	0
BAR_SEG_UNFILL	91	162	8	7	0
BAR_SEG_FILL	64	162	8	7	0
P_UNFILL	100	162	15	7	0
P_FILL	73	162	15	7	0
